rostime,x_acc,y_acc,z_acc
1592291184.009,1.187,-9.228,-1.432
1592291184.013,1.147,-8.826,-1.451
1592291184.017,1.147,-9.12,-1.736
1592291184.021,1.334,-9.326,-1.853
1592291184.025,1.471,-8.542,-2.579
1592291184.028,1.589,-8.542,-2.373
1592291184.032,1.432,-8.787,-1.648
1592291184.036,1.049,-9.365,-1.608
1592291184.04,0.647,-9.542,-1.667
1592291184.044,0.549,-8.885,-1.991
1592291184.048,0.726,-8.424,-2.236
1592291184.052,0.892,-9.63,-2.314
1592291184.056,0.951,-7.894,-2.118
1592291184.06,1.245,-9.189,-1.334
1592291184.064,1.167,-9.542,-0.647
1592291184.068,0.667,-8.679,-0.873
1592291184.072,0.51,-9.287,-0.824
1592291184.076,0.471,-9.189,-1.893
1592291184.08,0.304,-8.522,-2.491
1592291184.084,0.245,-9.748,-2.118
1592291184.087,0.549,-9.14,-2.471
1592291184.091,0.324,-8.679,-2.334
1592291184.095,-0.147,-9.424,-2.03
1592291184.099,-0.226,-8.483,-1.755
1592291184.103,-0.471,-10.268,-0.99
1592291184.107,-0.745,-10.434,-1.412
1592291184.111,-0.324,-8.944,-2.177
1592291184.115,0.284,-9.248,-1.991
1592291184.119,0.932,-9.865,-2.216
1592291184.123,0.932,-10.013,-2.069
1592291184.127,0.108,-9.709,-1.451
1592291184.131,-0.226,-9.405,-1.128
1592291184.135,0.01,-9.865,-0.745
1592291184.139,0.245,-10.071,-1.187
1592291184.143,0.186,-9.483,-2.236
1592291184.146,-0.226,-9.287,-2.52
1592291184.15,0.01,-9.444,-2.099
1592291184.154,0.549,-10.513,-1.677
1592291184.158,0.51,-9.179,-0.804
1592291184.162,0.647,-9.807,-0.853
1592291184.166,0.667,-9.983,-1.089
1592291184.17,0.01,-9.846,-1.451
1592291184.174,0.0,-10.748,-1.471
1592291184.178,0.608,-10.366,-1.873
1592291184.182,1.108,-9.542,-1.834
1592291184.186,1.108,-10.111,-1.471
1592291184.19,0.853,-10.003,-1.451
1592291184.194,0.265,-9.787,-1.51
1592291184.198,-0.324,-9.522,-1.294
1592291184.202,-0.01,-9.326,-1.275
1592291184.205,0.343,-10.111,-1.412
1592291184.209,0.147,-10.15,-1.471
1592291184.213,-0.01,-10.532,-1.755
1592291184.217,0.0,-9.846,-1.491
1592291184.221,0.0,-9.591,-0.951
1592291184.225,0.029,-10.787,-1.147
1592291184.229,-0.029,-9.081,-1.412
1592291184.233,-0.226,-9.365,-1.373
1592291184.237,-0.049,-10.493,-1.353
1592291184.241,0.206,-9.807,-1.932
1592291184.245,0.049,-9.669,-1.775
1592291184.249,-0.431,-9.964,-1.677
1592291184.253,-0.706,-9.159,-1.53
1592291184.257,-0.431,-10.111,-1.01
1592291184.261,-0.284,-9.767,-0.804
1592291184.264,-0.304,-9.924,-1.206
1592291184.268,-0.167,-9.826,-1.167
1592291184.272,0.127,-9.63,-1.393
1592291184.276,-0.265,-10.091,-1.569
1592291184.28,-0.108,-9.748,-2.079
1592291184.283,0.412,-9.208,-1.932
1592291184.287,0.51,-9.365,-1.226
1592291184.291,0.451,-10.63,-1.53
1592291184.295,0.412,-9.522,-1.147
1592291184.299,0.451,-9.522,-0.932
1592291184.303,0.628,-10.091,-1.108
1592291184.307,0.853,-9.865,-1.128
1592291184.311,0.892,-10.228,-1.255
1592291184.315,0.667,-9.944,-1.667
1592291184.318,0.51,-8.904,-1.736
1592291184.322,0.667,-8.865,-0.892
1592291184.326,1.147,-10.268,-1.226
1592291184.33,1.736,-9.12,-1.716
1592291184.334,1.775,-9.767,-1.677
1592291184.338,1.716,-9.179,-1.677
1592291184.342,1.853,-9.611,-1.677
1592291184.346,1.912,-9.424,-0.932
1592291184.35,1.834,-9.846,-1.089
1592291184.354,2.069,-9.267,-1.089
1592291184.358,2.118,-9.669,-0.628
1592291184.362,1.51,-10.13,-1.01
1592291184.366,1.01,-9.022,-1.51
1592291184.37,1.187,-9.12,-1.834
1592291184.374,1.226,-9.022,-2.01
1592291184.377,1.412,-9.767,-2.069
1592291184.381,1.549,-9.101,-1.275
1592291184.385,1.608,-9.944,-1.275
1592291184.389,1.373,-9.267,-1.451
1592291184.393,1.049,-8.963,-1.334
1592291184.397,1.294,-10.169,-1.412
1592291184.401,1.608,-10.13,-1.736
1592291184.405,1.569,-9.728,-2.256
1592291184.409,1.549,-8.924,-2.03
1592291184.413,1.128,-9.042,-1.795
1592291184.417,0.932,-9.591,-1.353
1592291184.421,1.069,-10.189,-0.834
1592291184.425,1.314,-10.111,-1.226
1592291184.429,1.353,-8.679,-1.51
1592291184.433,1.167,-9.503,-1.628
1592291184.436,1.294,-9.287,-1.716
1592291184.44,1.608,-9.611,-1.569
1592291184.444,1.53,-10.071,-1.412
1592291184.448,1.049,-9.463,-1.677
1592291184.452,0.726,-8.522,-1.393
1592291184.456,0.647,-9.542,-1.187
1592291184.46,1.226,-10.032,-1.952
1592291184.464,1.971,-9.905,-2.471
1592291184.468,1.971,-9.385,-2.618
1592291184.472,1.549,-8.846,-2.177
1592291184.476,1.549,-10.248,-1.569
1592291184.48,1.549,-9.591,-1.245
1592291184.484,1.393,-9.748,-1.569
1592291184.488,1.549,-9.787,-1.971
1592291184.492,1.971,-8.983,-2.079
1592291184.495,2.138,-9.561,-1.03
1592291184.499,2.197,-10.846,-0.834
1592291184.503,2.393,-10.032,-1.334
1592291184.507,2.099,-9.905,-1.491
1592291184.511,1.451,-9.424,-2.256
1592291184.515,1.608,-9.248,-2.491
1592291184.519,1.775,-9.022,-1.393
1592291184.523,2.177,-9.983,-1.51
1592291184.527,2.079,-9.003,-1.275
1592291184.531,1.275,-8.885,-1.412
1592291184.535,0.932,-8.659,-1.206
1592291184.539,1.167,-9.885,-1.569
1592291184.543,1.697,-9.885,-1.677
1592291184.547,1.834,-9.208,-1.628
1592291184.55,2.03,-9.983,-2.216
1592291184.554,2.03,-8.659,-2.079
1592291184.558,1.697,-9.12,-1.677
1592291184.562,2.079,-9.267,-1.393
1592291184.566,2.54,-9.63,-1.255
1592291184.57,2.236,-8.698,-1.206
1592291184.574,1.667,-9.101,-1.834
1592291184.578,1.108,-8.924,-1.697
1592291184.582,1.01,-9.14,-1.971
1592291184.586,1.853,-8.885,-1.53
1592291184.59,2.314,-9.865,-1.275
1592291184.594,1.932,-9.189,-1.412
1592291184.598,1.549,-9.061,-1.187
1592291184.602,1.294,-9.542,-1.451
1592291184.606,1.167,-8.846,-1.736
1592291184.609,1.677,-9.365,-2.01
1592291184.613,2.138,-9.287,-1.912
1592291184.617,1.128,-9.228,-1.971
1592291184.621,0.382,-9.003,-1.755
1592291184.625,0.834,-9.061,-0.971
1592291184.629,1.01,-9.542,-1.049
1592291184.633,1.549,-9.787,-1.834
1592291184.637,2.177,-9.885,-2.275
1592291184.641,1.608,-9.65,-3.04
1592291184.645,0.932,-9.405,-2.942
1592291184.649,1.432,-9.307,-1.755
1592291184.653,2.275,-10.287,-1.255
1592291184.657,2.157,-9.561,-1.187
1592291184.661,2.01,-10.13,-1.736
1592291184.665,1.873,-9.287,-2.157
1592291184.668,1.912,-9.267,-2.432
1592291184.672,2.501,-9.728,-2.452
1592291184.676,2.658,-9.365,-2.197
1592291184.68,2.236,-9.964,-2.275
1592291184.684,1.814,-9.003,-2.216
1592291184.688,1.736,-9.483,-2.069
1592291184.692,1.491,-9.787,-1.893
1592291184.696,1.314,-9.179,-1.893
1592291184.7,1.628,-10.071,-1.853
1592291184.704,1.432,-9.63,-2.118
1592291184.708,0.647,-8.944,-2.216
1592291184.712,0.226,-8.865,-1.628
1592291184.716,0.382,-9.944,-1.952
1592291184.72,0.343,-8.944,-2.157
1592291184.724,0.431,-9.865,-2.138
1592291184.727,0.667,-9.307,-2.099
1592291184.731,0.588,-9.061,-2.197
1592291184.735,0.785,-9.228,-1.795
1592291184.739,1.108,-9.689,-2.03
1592291184.743,0.824,-9.561,-2.099
1592291184.747,0.0,-9.287,-1.873
1592291184.751,-0.471,-9.385,-1.549
1592291184.755,-0.343,-8.983,-1.697
1592291184.759,0.324,-9.159,-1.147
1592291184.763,0.726,-9.728,-1.206
1592291184.767,0.569,-10.13,-2.118
1592291184.771,-0.431,-8.424,-2.099
1592291184.775,-0.99,-9.179,-2.01
1592291184.779,-0.873,-9.248,-1.471
1592291184.783,-0.304,-9.905,-1.128
1592291184.786,0.402,-9.463,-1.187
1592291184.79,0.706,-9.846,-2.52
1592291184.794,0.471,-8.806,-3.177
1592291184.798,-0.049,-8.542,-3.079
1592291184.802,-0.343,-9.611,-2.491
1592291184.806,-0.471,-8.963,-1.628
1592291184.81,-0.127,-9.228,-0.873
1592291184.814,0.549,-9.709,-0.726
1592291184.818,1.147,-9.444,-1.51
1592291184.822,0.971,-9.522,-1.873
1592291184.826,0.667,-9.689,-2.579
1592291184.83,0.451,-9.061,-3.197
1592291184.834,0.108,-8.738,-2.334
1592291184.838,0.127,-9.581,-1.834
1592291184.842,0.343,-9.287,-1.755
1592291184.845,0.451,-9.189,-1.608
1592291184.849,0.667,-9.365,-2.314
1592291184.853,0.549,-9.591,-3.06
1592291184.857,0.49,-9.591,-3.295
1592291184.861,0.108,-9.248,-2.942
1592291184.865,-0.412,-9.385,-2.197
1592291184.869,-0.226,-9.287,-1.608
1592291184.873,0.147,-8.983,-0.99
1592291184.877,0.324,-9.611,-1.569
1592291184.881,0.765,-9.826,-2.432
1592291184.885,0.667,-9.042,-2.922
1592291184.889,-0.01,-9.267,-3.02
1592291184.893,-0.412,-8.767,-1.971
1592291184.897,-0.284,-9.748,-1.314
1592291184.901,0.647,-9.581,-0.971
1592291184.904,1.393,-9.944,-2.197
1592291184.908,1.393,-9.444,-3.02
1592291184.912,0.873,-9.081,-3.579
1592291184.916,0.0,-8.738,-2.922
1592291184.92,-0.245,-8.963,-1.716
1592291184.924,0.588,-10.209,-1.206
1592291184.928,1.314,-9.463,-0.804
1592291184.932,1.549,-10.63,-1.775
1592291184.936,1.549,-8.718,-2.756
1592291184.94,1.294,-9.346,-3.383
1592291184.944,1.069,-9.905,-2.893
1592291184.948,0.912,-9.983,-2.52
1592291184.952,1.089,-9.709,-1.991
